timestamp,roll_error,pitch_error,yaw_error
1750916470.0254881,0.000000,0.000000,0.000000
1750916470.0466568,0.000000,0.000000,0.000000
1750916470.0633855,0.000000,0.000000,0.000000
1750916470.0849485,0.000000,0.000000,0.000000
1750916470.1015718,0.000000,0.000000,0.000000
1750916470.11889,0.000000,0.000000,0.000000
1750916470.130333,0.000000,0.000000,0.000000
1750916470.1449816,0.000000,0.000000,0.000000
1750916470.1578586,0.000000,0.000000,0.000000
1750916470.1678622,0.000000,0.000000,0.000000
1750916470.1764135,0.000000,0.000000,0.000000
1750916470.1943378,0.000000,0.000000,0.000000
1750916470.2038863,0.000000,0.000000,0.000000
1750916470.2162695,0.000000,0.000000,0.000000
1750916470.226863,0.000000,0.000000,0.000000
1750916470.2375183,0.000000,0.000000,0.000000
1750916470.2507873,0.000000,0.000000,0.000000
1750916470.2637553,0.000000,0.000000,0.000000
1750916470.2856767,0.000000,0.000000,0.000000
1750916470.294291,0.000000,0.000000,0.000000
1750916470.304783,0.000000,0.000000,0.000000
1750916470.3167562,0.000000,0.000000,0.000000
1750916470.3271034,0.000000,0.000000,0.000000
1750916470.3529332,0.000000,0.000000,0.000000
1750916470.3700845,0.000000,0.000000,0.000000
1750916470.380881,0.000000,0.000000,0.000000
1750916470.4039097,0.000000,0.000000,0.000000
1750916470.4181783,0.000000,0.000000,0.000000
1750916470.426202,0.000000,0.000000,0.000000
1750916470.4541898,0.000000,0.000000,0.000000
1750916470.4783762,0.000000,0.000000,0.000000
1750916470.487117,0.000000,0.000000,0.000000
1750916470.506447,0.000000,0.000000,0.000000
1750916470.5182836,0.000000,0.000000,0.000000
1750916470.5364742,0.000000,0.000000,0.000000
1750916470.545807,0.000000,0.000000,0.000000
1750916470.5545313,0.000000,0.000000,0.000000
1750916470.5734103,0.000000,0.000000,0.000000
1750916470.5884137,0.000000,0.000000,0.000000
1750916470.6022472,0.000000,0.000000,0.000000
1750916470.6177902,0.000000,0.000000,0.000000
1750916470.6742897,0.000000,0.000000,0.000000
1750916470.6951892,0.000000,0.000000,0.000000
1750916470.7071526,0.000000,0.000000,0.000000
1750916470.733315,0.000000,0.000000,0.000000
1750916470.7598464,0.000000,0.000000,0.000000
1750916470.7946248,0.000000,0.000000,0.000000
1750916470.8191333,0.000000,0.000000,0.000000
1750916470.843519,0.000000,0.000000,0.000000
1750916470.8747704,0.000000,0.000000,0.000000
1750916470.896874,0.000000,0.000000,0.000000
1750916470.9218233,0.000000,0.000000,0.000000
1750916470.947547,0.000000,0.000000,0.000000
1750916470.955036,0.000000,0.000000,0.000000
1750916470.9815133,0.000000,0.000000,0.000000
1750916471.0340395,0.000000,0.000000,0.000000
1750916471.0564492,0.000000,0.000000,0.000000
1750916471.0818453,0.000000,0.000000,0.000000
1750916471.1124885,0.000000,0.000000,0.000000
1750916471.1568563,0.000000,0.000000,0.000000
1750916471.1782053,0.000000,0.000000,0.000000
1750916471.1980312,0.000000,0.000000,0.000000
1750916471.238762,0.000000,0.000000,0.000000
1750916471.2626143,0.000000,0.000000,0.000000
1750916471.299503,0.000000,0.000000,0.000000
1750916471.3275409,0.000000,0.000000,0.000000
1750916471.338193,0.000000,0.000000,0.000000
1750916471.3613915,0.000000,0.000000,0.000000
1750916471.3799658,0.000000,0.000000,0.000000
1750916471.398877,0.000000,0.000000,0.000000
1750916471.4123933,0.000000,0.000000,0.000000
1750916471.4283943,0.000000,0.000000,0.000000
1750916471.4450083,0.000000,0.000000,0.000000
1750916471.45588,0.000000,0.000000,0.000000
1750916471.4691265,0.000000,0.000000,0.000000
1750916471.4806783,0.000000,0.000000,0.000000
1750916471.5068836,0.000000,0.000000,0.000000
1750916471.5145116,0.000000,0.000000,0.000000
1750916471.54525,0.000000,0.000000,0.000000
1750916471.5673409,0.000000,0.000000,0.000000
1750916471.6079793,0.000000,0.000000,0.000000
1750916471.625507,0.000000,0.000000,0.000000
1750916471.6411786,0.000000,0.000000,0.000000
1750916471.6720586,0.000000,0.000000,0.000000
1750916471.6970358,0.000000,0.000000,0.000000
1750916471.7145376,0.000000,0.000000,0.000000
1750916471.7298276,0.000000,0.000000,0.000000
1750916471.7710946,0.000000,0.000000,0.000000
1750916471.810986,0.000000,0.000000,0.000000
1750916471.8350742,0.000000,0.000000,0.000000
1750916471.873596,0.000000,0.000000,0.000000
1750916471.892134,0.000000,0.000000,0.000000
1750916471.911372,0.000000,0.000000,0.000000
1750916471.9399965,0.000000,0.000000,0.000000
1750916471.9685783,0.000000,0.000000,0.000000
1750916472.0095606,0.000000,0.000000,0.000000
1750916472.0336637,0.000000,0.000000,0.000000
1750916472.0974555,0.000000,0.000000,0.000000
1750916472.1433764,0.000000,0.000000,0.000000
1750916472.174665,0.000000,0.000000,0.000000
1750916472.230241,0.000000,0.000000,0.000000
1750916472.2862735,0.000000,0.000000,0.000000
1750916472.3223126,0.000000,0.000000,0.000000
1750916472.3564892,0.000000,0.000000,0.000000
1750916472.3765976,0.000000,0.000000,0.000000
1750916472.4132528,-0.007074,-0.013316,-0.185302
1750916472.436119,-0.005054,-0.012114,-0.189439
1750916472.4621336,0.000212,-0.012174,-0.189053
1750916472.4911933,0.000212,-0.012174,-0.189053
1750916472.5224812,-0.003194,-0.010538,-0.190038
1750916472.5445013,-0.005182,-0.009775,-0.187712
1750916472.5706904,-0.009041,-0.010101,-0.188779
1750916472.6013536,-0.009041,-0.010101,-0.188779
1750916472.6294901,-0.009041,-0.010101,-0.188779
1750916472.65117,-0.049503,-0.013658,-0.186421
1750916472.6722975,-0.054388,-0.013676,-0.185722
1750916472.7016249,-0.088432,-0.016433,-0.184028
1750916472.7319117,-0.095123,-0.016904,-0.181813
1750916472.7599993,-0.108691,-0.017700,-0.180129
1750916472.7956135,-0.108691,-0.017700,-0.180129
1750916472.820503,-0.108691,-0.017700,-0.180129
1750916472.840987,-0.170949,-0.024351,-0.175870
1750916472.866046,-0.188622,-0.025168,-0.172130
1750916472.8920367,-0.202901,-0.024885,-0.168387
1750916472.9105756,-0.209446,-0.024491,-0.169063
1750916472.940874,-0.218309,-0.023914,-0.169458
1750916472.9746943,-0.228648,-0.022895,-0.174570
1750916473.00112,-0.230756,-0.021483,-0.172909
1750916473.035999,-0.222658,-0.022942,-0.171912
1750916473.066499,-0.216626,-0.023432,-0.165277
1750916473.0922782,-0.200905,-0.021298,-0.165983
1750916473.1078038,-0.200905,-0.021298,-0.165983
1750916473.1360655,-0.200905,-0.021298,-0.165983
1750916473.1566596,-0.173139,-0.020685,-0.170012
1750916473.167592,-0.158249,-0.020415,-0.173816
1750916473.1948607,-0.155802,-0.020897,-0.174279
1750916473.220613,-0.155802,-0.020897,-0.174279
1750916473.2446394,-0.130251,-0.019901,-0.173212
1750916473.2718244,-0.130251,-0.019901,-0.173212
1750916473.295008,-0.130251,-0.019901,-0.173212
1750916473.3440871,-0.101972,-0.017788,-0.174377
1750916473.3639562,-0.102269,-0.017412,-0.175877
1750916473.3850396,-0.104856,-0.017144,-0.177068
1750916473.4051242,-0.104856,-0.017144,-0.177068
