timestamp,target_pwm
1750916470.0274951,0.0
1750916470.0522692,0.0
1750916470.0749867,0.0
1750916470.092431,0.0
1750916470.113216,0.0
1750916470.1246703,0.0
1750916470.1359272,0.0
1750916470.1452746,0.0
1750916470.158209,0.0
1750916470.1719587,0.0
1750916470.185504,0.0
1750916470.1993763,0.0
1750916470.2167654,0.0
1750916470.2272282,0.0
1750916470.2379138,0.0
1750916470.2560403,0.0
1750916470.2640228,0.0
1750916470.2798357,0.0
1750916470.29461,0.0
1750916470.3050077,0.0
1750916470.3172154,0.0
1750916470.3274372,0.0
1750916470.3595772,0.0
1750916470.3799925,0.0
1750916470.404418,0.0
1750916470.4185107,0.0
1750916470.4483342,0.0
1750916470.4646564,0.0
1750916470.4787214,0.0
1750916470.5068436,0.0
1750916470.5187833,0.0
1750916470.536787,0.0
1750916470.5461712,0.0
1750916470.554935,0.0
1750916470.5743268,0.0
1750916470.5911798,0.0
1750916470.6028576,0.0
1750916470.6163,0.0
1750916470.6302552,0.0
1750916470.674752,0.0
1750916470.6903315,0.0
1750916470.7036216,0.0
1750916470.7336667,0.0
1750916470.745606,0.0
1750916470.7643037,0.0
1750916470.7948782,0.0
1750916470.8038075,0.0
1750916470.8303072,0.0
1750916470.8565013,0.0
1750916470.888072,0.0
1750916470.9120104,0.0
1750916470.928952,0.0
1750916470.9554045,0.0
1750916470.9835045,0.0
1750916471.0076573,0.0
1750916471.0568857,0.0
1750916471.082276,0.0
1750916471.1133409,0.0
1750916471.157308,0.0
1750916471.178884,0.0
1750916471.1985986,1500
1750916471.224548,1500
1750916471.239663,1500
1750916471.2630062,1500
1750916471.294019,1500
1750916471.3259935,1500
1750916471.3386176,1500
1750916471.365314,1500
1750916471.380418,1500
1750916471.3932498,1500
1750916471.4051943,1500
1750916471.41736,1500
1750916471.4287946,1500
1750916471.4453976,1500
1750916471.4564269,1500
1750916471.469475,1500
1750916471.4856527,1500
1750916471.504741,1500
1750916471.514981,1500
1750916471.5458515,1500
1750916471.5710444,1500
1750916471.5929806,1500
1750916471.608385,1500
1750916471.6259158,1500
1750916471.641689,1500
1750916471.6727269,1500
1750916471.6977754,1500
1750916471.7235637,1500
1750916471.7428787,1500
1750916471.7783387,1500
1750916471.8163981,1500
1750916471.8384693,1500
1750916471.873811,1500
1750916471.8927329,1500
1750916471.9135494,1500
1750916471.944912,1500
1750916471.9713557,1500
1750916472.0114524,1500
1750916472.0355544,1500
1750916472.10187,1500
1750916472.1494243,1500
1750916472.1834073,1500
1750916472.2470918,1500
1750916472.328332,1500
1750916472.3579612,1500
1750916472.392906,1500
1750916472.442272,1500
1750916472.463922,1500
1750916472.4814265,1500
1750916472.506186,1500
1750916472.534742,1500
1750916472.5674386,1500
1750916472.6020396,1500
1750916472.632743,1500
1750916472.6533508,1500
1750916472.6738985,1500
1750916472.7132797,1500
1750916472.7335134,1500
1750916472.7999084,1500
1750916472.8209877,1500
1750916472.8414044,1500
1750916472.8718603,1500
1750916472.8942218,1500
1750916472.9140542,1500
1750916472.947864,1500
1750916472.9806912,1500
1750916473.0153558,1500
1750916473.0637631,1500
1750916473.0929766,1500
1750916473.1084082,1500
1750916473.1383493,1500
1750916473.1725185,1500
1750916473.2041662,1500
1750916473.2457917,1500
1750916473.2829807,1500
1750916473.3153553,1500
1750916473.3447998,1500
1750916473.3562174,1500
1750916473.3733177,1500
1750916473.396033,1500
1750916473.4127672,1500
1750916473.4455132,1500
1750916473.466335,1500
1750916473.4859893,1500
1750916473.518598,1500
1750916473.5404787,1500
1750916473.569647,1500
1750916473.5908015,1500
1750916473.6180732,1500
1750916473.6571956,1500
1750916473.6732905,1500
1750916473.7097702,1500
1750916473.7418718,1500
1750916473.760892,1500
1750916473.7839293,1500
1750916473.7953677,1500
1750916473.8244255,1500
1750916473.868445,1500
1750916473.9049976,1500
1750916473.9193127,1500
1750916473.936837,1500
1750916473.9516025,1500
1750916473.9690282,1500
1750916473.9919684,1500
1750916474.0129237,1500
1750916474.0337677,1500
1750916474.0712276,1500
1750916474.0903943,1500
1750916474.1191173,1500
1750916474.1525211,1500
1750916474.1707368,1500
1750916474.1927297,1500
1750916474.2080863,1500
1750916474.23804,1500
1750916474.2573724,1500
1750916474.283358,1500
1750916474.2962918,1500
1750916474.3202093,1500
1750916474.3484366,1500
1750916474.3799047,1500
1750916474.417967,1500
1750916474.4434636,1500
1750916474.4837859,1500
1750916474.5111053,1500
1750916474.5298243,1500
1750916474.543936,1500
1750916474.5661447,1500
1750916474.590579,1500
1750916474.6159084,1500
1750916474.6383722,1500
1750916474.6580389,1500
1750916474.7147481,1500
1750916474.7344382,1500
1750916474.7842243,1500
1750916474.8148596,1500
1750916474.8543189,1500
1750916474.8860166,1500
1750916474.9126756,1500
1750916474.9419193,1500
1750916474.9655287,1500
1750916474.9929,1500
1750916475.030178,1500
1750916475.0460055,1500
1750916475.0892572,1500
1750916475.1070848,1500
1750916475.1389425,1500
1750916475.172335,1500
1750916475.1877432,1500
1750916475.2108574,1500
1750916475.2246208,1500
1750916475.2524433,1500
1750916475.2829564,1500
1750916475.2983866,1500
1750916475.3331802,1500
1750916475.375326,1500
1750916475.4010153,1500
1750916475.4171867,1500
1750916475.443865,1500
1750916475.46654,1500
1750916475.491043,1500
1750916475.5123096,1500
1750916475.5426288,1500
1750916475.5803983,1500
1750916475.6005144,1500
1750916475.6258779,1500
1750916475.6385524,1500
1750916475.6778595,1500
1750916475.6976824,1500
1750916475.718528,1500
1750916475.7389512,1500
1750916475.7561939,1500
1750916475.7689521,1500
1750916475.801933,1500
1750916475.8177288,1500
1750916475.844175,1500
1750916475.8605678,1500
1750916475.8837082,1500
1750916475.902666,1500
1750916475.9236636,1500
1750916475.9452043,1500
1750916475.9628677,1500
1750916475.9793568,1500
1750916476.0085335,1500
1750916476.0314279,1500
1750916476.054606,1500
1750916476.0768256,1500
1750916476.101006,1500
1750916476.13287,1500
1750916476.161728,1500
1750916476.1794283,1500
1750916476.2000175,1500
1750916476.222669,1500
1750916476.2488866,1500
1750916476.2741544,1500
1750916476.295442,1500
1750916476.3113942,1500
1750916476.3286948,1500
1750916476.346513,1500
1750916476.3672283,1500
1750916476.389955,1500
1750916476.4146438,1500
1750916476.434348,1500
1750916476.4556468,1500
1750916476.4781272,1500
1750916476.4980214,1500
1750916476.5303416,1500
1750916476.5471807,1500
1750916476.5774245,1500
1750916476.6035573,1500
1750916476.636994,1500
1750916476.6560376,1500
1750916476.7092745,1500
1750916476.7351494,1500
1750916476.7623396,1500
1750916476.795408,1500
1750916476.8179414,1500
1750916476.8537433,1500
1750916476.8879063,1500
1750916476.91433,1500
1750916476.9430768,1500
1750916476.9627614,1500
1750916476.9854388,1500
1750916477.0072083,1500
1750916477.068304,1500
1750916477.0914917,1500
1750916477.1050627,1500
1750916477.1257355,1500
1750916477.1394937,1500
1750916477.1751964,1500
1750916477.1974294,1500
1750916477.2462356,1500
1750916477.2724178,1500
1750916477.3015013,1500
1750916477.3203008,1500
1750916477.3444111,1500
1750916477.3741407,1500
1750916477.3968587,1500
1750916477.4328272,1500
1750916477.4633,1500
1750916477.491539,1500
1750916477.5151806,1500
1750916477.5314965,1500
1750916477.5688381,1500
1750916477.605744,1500
1750916477.6309638,1500
1750916477.6537886,1500
1750916477.6678612,1500
1750916477.6922936,1500
1750916477.7058167,1500
1750916477.7426674,1500
1750916477.7713487,1500
1750916477.7867868,1500
1750916477.8167367,1500
1750916477.8399441,1500
1750916477.8734255,1500
1750916477.909125,1500
1750916477.9334166,1500
1750916477.9524767,1500
1750916477.974155,1500
1750916478.0254092,1500
1750916478.0363636,1500
1750916478.0581336,1500
