timestamp,control_pwm
1750916470.0281365,0.0
1750916470.0529318,0.0
1750916470.075481,0.0
1750916470.0999823,0.0
1750916470.114291,0.0
1750916470.1253905,0.0
1750916470.1370895,0.0
1750916470.1497195,0.0
1750916470.1629965,0.0
1750916470.1726227,0.0
1750916470.1996768,0.0
1750916470.2173398,0.0
1750916470.2327719,0.0
1750916470.244333,0.0
1750916470.2567773,0.0
1750916470.264311,0.0
1750916470.280626,0.0
1750916470.2948928,0.0
1750916470.305335,0.0
1750916470.317997,0.0
1750916470.3373501,0.0
1750916470.3705902,0.0
1750916470.3863025,0.0
1750916470.4063296,0.0
1750916470.4190862,0.0
1750916470.448903,0.0
1750916470.4692936,0.0
1750916470.4836097,0.0
1750916470.5070245,0.0
1750916470.519164,0.0
1750916470.542195,0.0
1750916470.555232,0.0
1750916470.5752478,0.0
1750916470.587251,0.0
1750916470.607411,0.0
1750916470.6305974,0.0
1750916470.6468992,0.0
1750916470.675664,0.0
1750916470.6997025,0.0
1750916470.7342887,0.0
1750916470.7462971,0.0
1750916470.7649698,0.0
1750916470.7952652,0.0
1750916470.8051324,0.0
1750916470.831583,0.0
1750916470.857993,0.0
1750916470.8891017,0.0
1750916470.9150019,0.0
1750916470.9298298,0.0
1750916470.955994,0.0
1750916470.98448,0.0
1750916471.008704,0.0
1750916471.0576315,0.0
1750916471.0831451,0.0
1750916471.116666,0.0
1750916471.1576958,0.0
1750916471.1795924,0.0
1750916471.1992495,0.0
1750916471.2253292,0.0
1750916471.2409396,0.0
1750916471.2661006,0.0
1750916471.2997415,0.0
1750916471.3282964,0.0
1750916471.362111,0.0
1750916471.3807158,0.0
1750916471.3935986,0.0
1750916471.4060059,0.0
1750916471.418427,0.0
1750916471.438586,0.0
1750916471.4567838,0.0
1750916471.4697986,0.0
1750916471.4810064,0.0
1750916471.5058627,0.0
1750916471.5193183,0.0
1750916471.5586984,0.0
1750916471.5910459,0.0
1750916471.6094577,0.0
1750916471.6348162,0.0
1750916471.6638246,0.0
1750916471.6882524,0.0
1750916471.7075448,0.0
1750916471.731057,0.0
1750916471.7717519,0.0
1750916471.7871027,0.0
1750916471.8191478,0.0
1750916471.8511007,0.0
1750916471.8942456,0.0
1750916471.9164512,0.0
1750916471.9471862,0.0
1750916471.972433,0.0
1750916472.012558,0.0
1750916472.0368288,0.0
1750916472.1029062,0.0
1750916472.1507967,0.0
1750916472.201578,0.0
1750916472.251317,0.0
1750916472.3334613,0.0
1750916472.361484,0.0
1750916472.393963,0.0
1750916472.4426732,0.0
1750916472.4669344,0.0
1750916472.4821844,0.0
1750916472.5076804,0.0
1750916472.5363822,0.0
1750916472.5690758,0.0
1750916472.6026487,0.0
1750916472.6330798,0.0
1750916472.654545,0.0
1750916472.677432,0.0
1750916472.70217,0.0
1750916472.740226,0.0
1750916472.7684352,0.0
1750916472.792413,0.0
1750916472.818923,0.0
1750916472.8426616,0.0
1750916472.876718,0.0
1750916472.8949425,0.0
1750916472.9161968,0.0
1750916472.949097,0.0
1750916472.9896307,0.0
1750916473.0336697,0.0
1750916473.0650947,0.0
1750916473.0937052,0.0
